SpotApp table;SpotApp columns;SpotApp column datatype;SpotApp column description;SpotApp mandatory column
EMPLOYEE_FACT;AGE;INT64;;Yes
EMPLOYEE_FACT;CITY;VARCHAR;;Yes
EMPLOYEE_FACT;COUNTRY;VARCHAR;;Yes
EMPLOYEE_FACT;CURRENT_DEPARTMENT;VARCHAR;;Yes
EMPLOYEE_FACT;CURRENT_JOB_TITLE;VARCHAR;;Yes
EMPLOYEE_FACT;CURRENT_LOCATION;VARCHAR;;Yes
EMPLOYEE_FACT;DISABILITY;VARCHAR;;Yes
EMPLOYEE_FACT;EMPLOYEE_NUMBER;VARCHAR;;Yes
EMPLOYEE_FACT;EMPLOYMENT_STATUS;VARCHAR;;Yes
EMPLOYEE_FACT;ETHNICITY;VARCHAR;;Yes
EMPLOYEE_FACT;FULL_NAME;VARCHAR;;Yes
EMPLOYEE_FACT;GENDER;VARCHAR;;Yes
EMPLOYEE_FACT;GRADE;VARCHAR;;Yes
EMPLOYEE_FACT;HIRE_DATE;DATE;;Yes
EMPLOYEE_FACT;LGBTQI;VARCHAR;;Yes
EMPLOYEE_FACT;REGION;VARCHAR;;Yes
EMPLOYEE_FACT;STATE;VARCHAR;;Yes
EMPLOYEE_FACT;STATUS;VARCHAR;;Yes
EMPLOYEE_FACT;SUPERVISOR_ID;VARCHAR;;Yes
EMPLOYEE_FACT;TERMINATION_DATE;DATE;;Yes
EMPLOYEE_FACT;WORK_EMAIL;VARCHAR;;Yes
